Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,18.47,18.63,18.05,18.18,35637900,18.18
2015-03-30,18.40,18.68,18.23,18.46,30829900,18.46
2015-03-27,18.01,18.56,17.90,18.39,36206000,18.39
2015-03-26,17.95,18.30,17.60,17.97,38948100,17.97
2015-03-25,17.49,18.13,17.22,17.97,49512400,17.97
2015-03-24,17.81,17.81,17.01,17.47,40030100,17.47
2015-03-23,17.44,17.87,17.24,17.84,44161500,17.84
2015-03-20,17.15,17.61,17.09,17.40,29964600,17.40
2015-03-19,17.43,17.43,16.99,17.19,33406500,17.19
2015-03-18,17.05,17.52,16.89,17.43,52475500,17.43
2015-03-17,16.76,16.98,16.56,16.97,45007600,16.97
2015-03-16,16.34,16.65,16.11,16.64,48649800,16.64
2015-03-13,16.15,16.37,16.15,16.31,11269500,16.31
2015-03-12,16.22,16.30,16.00,16.11,15046500,16.11
2015-03-11,16.69,16.69,16.18,16.24,17873900,16.24
2015-03-10,16.53,16.86,16.53,16.70,14908600,16.70
2015-03-09,16.56,16.64,16.17,16.48,13495200,16.48
2015-03-06,17.00,17.10,16.52,16.54,18394800,16.54
2015-03-05,16.62,17.21,16.53,17.10,34133300,17.10
2015-03-04,16.07,16.75,16.07,16.71,21676300,16.71
2015-03-03,16.63,16.63,16.10,16.14,20733200,16.14
2015-03-02,16.56,16.66,16.39,16.63,18614400,16.63
2015-02-27,16.25,16.80,16.18,16.50,18132700,16.50
2015-02-26,16.32,16.34,15.93,16.25,14164800,16.25
2015-02-25,16.48,16.60,16.25,16.35,11130600,16.35
2015-02-24,16.46,16.46,16.46,16.46,000,16.46
2015-02-23,16.46,16.46,16.46,16.46,000,16.46
2015-02-20,16.46,16.46,16.46,16.46,000,16.46
2015-02-19,16.46,16.46,16.46,16.46,000,16.46
2015-02-18,16.46,16.46,16.46,16.46,000,16.46
2015-02-17,16.40,16.84,16.31,16.46,14961900,16.46
2015-02-16,16.30,16.49,16.14,16.40,15373900,16.40
2015-02-13,15.70,16.44,15.70,16.27,19481600,16.27
2015-02-12,15.69,15.83,15.47,15.67,9960300,15.67
2015-02-11,15.53,15.80,15.33,15.68,9624700,15.68
2015-02-10,15.16,15.66,15.05,15.51,10165800,15.51
2015-02-09,15.51,15.51,15.06,15.12,10392100,15.12
2015-02-06,15.22,16.00,15.22,15.66,19221500,15.66
2015-02-05,15.75,15.85,15.30,15.32,14859000,15.32
2015-02-04,16.12,16.12,15.50,15.55,17307100,15.55
2015-02-03,15.73,16.20,15.70,16.13,14265200,16.13
2015-02-02,16.05,16.05,15.50,15.73,16922500,15.73
2015-01-30,16.43,16.84,16.20,16.22,18635900,16.22
2015-01-29,17.01,17.08,16.26,16.60,32877600,16.60
2015-01-28,19.18,19.18,17.48,17.53,67209500,17.53
2015-01-27,17.56,17.56,17.56,17.56,000,17.56
2015-01-26,17.56,17.56,17.56,17.56,000,17.56
2015-01-23,17.56,17.56,17.56,17.56,000,17.56
2015-01-22,17.56,17.56,17.56,17.56,000,17.56
2015-01-21,17.56,17.56,17.56,17.56,000,17.56
2015-01-20,17.56,17.56,17.56,17.56,000,17.56
2015-01-19,17.56,17.56,17.56,17.56,000,17.56
2015-01-16,17.56,17.56,17.56,17.56,000,17.56
2015-01-15,17.56,17.56,17.56,17.56,000,17.56
2015-01-14,17.56,17.56,17.56,17.56,000,17.56
2015-01-13,17.56,17.56,17.56,17.56,000,17.56
2015-01-12,17.56,17.56,17.56,17.56,000,17.56
2015-01-09,17.56,17.56,17.56,17.56,000,17.56
2015-01-08,17.56,17.56,17.56,17.56,000,17.56
2015-01-07,17.56,17.56,17.56,17.56,000,17.56
2015-01-06,16.70,17.99,16.57,17.56,51918300,17.56
2015-01-05,16.43,17.11,16.43,16.95,39252000,16.95
2015-01-02,16.41,16.41,16.41,16.41,000,16.41
2015-01-01,16.41,16.41,16.41,16.41,000,16.41
2014-12-31,16.32,16.54,15.98,16.41,23314700,16.41
2014-12-30,15.51,16.65,15.51,16.45,43055600,16.45
2014-12-29,15.85,15.90,15.46,15.62,16675400,15.62
2014-12-26,15.80,16.23,15.70,15.81,21583900,15.81
2014-12-25,15.50,15.82,15.35,15.80,15125000,15.80
2014-12-24,15.19,15.64,15.10,15.54,14144400,15.54
2014-12-23,15.50,15.74,15.08,15.17,16294200,15.17
2014-12-22,16.25,16.68,15.44,15.71,31532800,15.71
2014-12-19,15.21,16.30,15.01,16.23,31493200,16.23
2014-12-18,15.29,15.45,15.15,15.24,12790900,15.24
2014-12-17,15.76,15.79,15.12,15.24,21086400,15.24
2014-12-16,15.78,15.84,15.63,15.75,17946100,15.75
2014-12-15,15.50,16.05,15.27,15.93,24773100,15.93
2014-12-12,15.99,16.05,15.50,15.64,18361700,15.64
2014-12-11,15.60,16.12,15.50,15.94,31254000,15.94
2014-12-10,14.56,15.65,14.51,15.58,29701400,15.58
2014-12-09,16.18,16.18,14.60,14.71,43368900,14.71
2014-12-08,16.00,16.69,15.62,16.19,48508000,16.19
2014-12-05,15.22,16.61,15.05,15.92,67352100,15.92
2014-12-04,14.83,15.20,14.62,15.14,42233900,15.14
2014-12-03,13.94,15.28,13.70,14.89,54905300,14.89
2014-12-02,13.80,13.98,13.78,13.94,19976700,13.94
2014-12-01,13.84,13.99,13.65,13.83,15118200,13.83
2014-11-28,14.03,14.05,13.69,13.83,17895000,13.83
2014-11-27,13.80,14.09,13.72,13.98,25019100,13.98
2014-11-26,13.67,13.71,13.50,13.68,14490300,13.68
2014-11-25,13.39,13.65,13.36,13.65,15775400,13.65
2014-11-24,13.38,13.46,13.22,13.36,12997000,13.36
2014-11-21,13.25,13.30,13.20,13.27,7487800,13.27
2014-11-20,13.31,13.31,13.22,13.25,5466900,13.25
2014-11-19,13.23,13.38,13.18,13.33,6986100,13.33
2014-11-18,13.37,13.42,13.21,13.26,6813800,13.26
2014-11-17,13.40,13.48,13.31,13.37,6491500,13.37
2014-11-14,13.35,13.43,13.21,13.35,7578400,13.35
2014-11-13,13.82,13.82,13.28,13.36,13993200,13.36
2014-11-12,13.70,13.83,13.62,13.82,15181900,13.82
2014-11-11,13.44,13.67,13.30,13.65,19033300,13.65
2014-11-10,13.32,13.48,13.28,13.42,7260100,13.42
2014-11-07,13.50,13.50,13.18,13.29,11548200,13.29
2014-11-06,13.65,13.65,13.40,13.52,6805100,13.52
2014-11-05,13.44,13.67,13.26,13.67,9774900,13.67
2014-11-04,13.65,13.65,13.38,13.45,11224700,13.45
2014-11-03,13.80,13.86,13.58,13.65,12095600,13.65
2014-10-31,13.90,13.97,13.60,13.78,12187500,13.78
2014-10-30,13.73,13.99,13.67,13.83,14092800,13.83
2014-10-29,13.78,13.88,13.60,13.73,14564900,13.73
2014-10-28,13.54,13.78,13.46,13.73,10152100,13.73
2014-10-27,13.16,13.43,13.07,13.42,6806700,13.42
2014-10-24,13.15,13.27,13.08,13.17,7670800,13.17
2014-10-23,13.38,13.57,13.00,13.16,11386600,13.16
2014-10-22,13.70,13.88,13.35,13.45,9518800,13.45
2014-10-21,13.91,13.96,13.56,13.61,11043000,13.61
2014-10-20,13.63,14.06,13.63,13.89,12996200,13.89
2014-10-17,13.90,14.03,13.36,13.61,22631100,13.61
2014-10-16,14.68,14.99,13.98,14.02,37917200,14.02
2014-10-15,14.36,14.97,14.26,14.68,36488200,14.68
2014-10-14,14.63,14.90,14.20,14.43,31772500,14.43
2014-10-13,14.08,14.89,13.85,14.63,45374400,14.63
2014-10-10,13.50,14.12,13.36,14.07,40052200,14.07
2014-10-09,13.45,13.80,13.40,13.56,27614000,13.56
2014-10-08,13.30,13.45,13.24,13.40,17982100,13.40
2014-10-07,13.25,13.25,13.25,13.25,000,13.25
2014-10-06,13.25,13.25,13.25,13.25,000,13.25
2014-10-03,13.25,13.25,13.25,13.25,000,13.25
2014-10-02,13.25,13.25,13.25,13.25,000,13.25
2014-10-01,13.25,13.25,13.25,13.25,000,13.25
2014-09-30,13.02,13.35,13.02,13.25,18547000,13.25
2014-09-29,12.92,13.04,12.91,13.02,12168100,13.02
2014-09-26,12.89,12.95,12.80,12.93,8152200,12.93
2014-09-25,13.07,13.20,12.88,12.93,12406000,12.93
2014-09-24,12.70,13.10,12.66,12.98,16538400,12.98
2014-09-23,12.52,12.77,12.51,12.76,7606600,12.76
2014-09-22,12.82,12.82,12.52,12.55,9450500,12.55
2014-09-19,12.80,12.90,12.72,12.83,8643700,12.83
2014-09-18,12.64,12.85,12.51,12.80,10673700,12.80
2014-09-17,12.59,12.72,12.42,12.63,11292900,12.63
2014-09-16,13.24,13.26,12.61,12.62,21703100,12.62
2014-09-15,13.20,13.48,13.17,13.25,18784900,13.25
2014-09-12,13.09,13.18,13.02,13.16,12356800,13.16
2014-09-11,13.22,13.36,13.03,13.14,25029000,13.14
